programa_id,indicador_id,label,valor_acumulado,meta_anual,unidad,pct_avance,orden,estado
fortalecimiento_municipal,FM_GEN_01,Municipalidades con capacidad instalada,0.0,15.0,municipalidades,0.0,1,sin_avance
fortalecimiento_municipal,FM_GEN_02,Estudios de caracterización de desechos y residuos sólidos y/o aguas residuales,5.0,6.0,estudios,0.8333333333333334,2,alto
fortalecimiento_municipal,FM_GEN_03,PIRDES Municipales,2.0,5.0,planes integrales,0.4,3,medio
fortalecimiento_municipal,FM_GEN_04,Asistencias técnicas municipales en aguas residuales,5.0,20.0,asistencias técnicas,0.25,4,bajo
