programa_id,programa_nombre,anio,mes_num,mes,nivel_agregacion,territorio,indicador_id,indicador_nombre,valor,meta_mensual,unidad,fuente
atitlan_recicla,Atitlán Recicla,2026,4,ABR,programa,TOTAL,participacion_comercializacion,Participación en comercialización,0.5689655172413793,0.6,proporción,CDM
atitlan_recicla,Atitlán Recicla,2026,5,MAY,programa,TOTAL,materiales_generales,Materiales reciclables recolectados,1708.31,1630.0,qq,CDM
atitlan_recicla,Atitlán Recicla,2026,5,MAY,programa,TOTAL,pet,PET recolectado,140.27,153.0,qq,CDM
atitlan_recicla,Atitlán Recicla,2026,5,MAY,programa,TOTAL,vidrio,Vidrio recolectado,0.0,1018.0,qq,CDM
atitlan_recicla,Atitlán Recicla,2026,5,MAY,programa,TOTAL,ingreso_bruto_total,Ingresos brutos totales,38314.5,40727.0,GTQ,CDM
atitlan_recicla,Atitlán Recicla,2026,5,MAY,programa,TOTAL,ingreso_bruto_mujeres,Ingresos brutos por mujeres,36455.14,36655.0,GTQ,CDM
atitlan_recicla,Atitlán Recicla,2026,5,MAY,programa,TOTAL,ingreso_bruto_municipalidades,Ingresos brutos por municipalidades,1859.3600000000001,4073.0,GTQ,CDM
atitlan_recicla,Atitlán Recicla,2026,5,MAY,programa,TOTAL,ingreso_diario_lideresa,Ingreso diario por lideresa,166.3362409090909,135.0,GTQ/día,CDM
atitlan_recicla,Atitlán Recicla,2026,5,MAY,programa,TOTAL,participacion_actividades,Participación activa en actividades,0.7068965517241379,0.75,proporción,CDM
atitlan_recicla,Atitlán Recicla,2026,5,MAY,programa,TOTAL,participacion_comercializacion,Participación en comercialización,0.5689655172413793,0.6,proporción,CDM
atitlan_recicla,Atitlán Recicla,2026,6,JUN,programa,TOTAL,materiales_generales,Materiales reciclables recolectados,0.0,1630.0,qq,CDM
atitlan_recicla,Atitlán Recicla,2026,6,JUN,programa,TOTAL,pet,PET recolectado,0.0,153.0,qq,CDM
atitlan_recicla,Atitlán Recicla,2026,6,JUN,programa,TOTAL,vidrio,Vidrio recolectado,0.0,1018.0,qq,CDM
atitlan_recicla,Atitlán Recicla,2026,6,JUN,programa,TOTAL,ingreso_bruto_total,Ingresos brutos totales,0.0,40727.0,GTQ,CDM
atitlan_recicla,Atitlán Recicla,2026,6,JUN,programa,TOTAL,ingreso_bruto_mujeres,Ingresos brutos por mujeres,0.0,36655.0,GTQ,CDM
atitlan_recicla,Atitlán Recicla,2026,6,JUN,programa,TOTAL,ingreso_bruto_municipalidades,Ingresos brutos por municipalidades,0.0,4073.0,GTQ,CDM
atitlan_recicla,Atitlán Recicla,2026,7,JUL,programa,TOTAL,materiales_generales,Materiales reciclables recolectados,0.0,1630.0,qq,CDM
atitlan_recicla,Atitlán Recicla,2026,7,JUL,programa,TOTAL,pet,PET recolectado,0.0,153.0,qq,CDM
atitlan_recicla,Atitlán Recicla,2026,7,JUL,programa,TOTAL,vidrio,Vidrio recolectado,0.0,1018.0,qq,CDM
atitlan_recicla,Atitlán Recicla,2026,7,JUL,programa,TOTAL,ingreso_bruto_total,Ingresos brutos totales,0.0,40727.0,GTQ,CDM
atitlan_recicla,Atitlán Recicla,2026,7,JUL,programa,TOTAL,ingreso_bruto_mujeres,Ingresos brutos por mujeres,0.0,36655.0,GTQ,CDM
atitlan_recicla,Atitlán Recicla,2026,7,JUL,programa,TOTAL,ingreso_bruto_municipalidades,Ingresos brutos por municipalidades,0.0,4073.0,GTQ,CDM
atitlan_recicla,Atitlán Recicla,2026,8,AGO,programa,TOTAL,materiales_generales,Materiales reciclables recolectados,0.0,1630.0,qq,CDM
atitlan_recicla,Atitlán Recicla,2026,8,AGO,programa,TOTAL,pet,PET recolectado,0.0,153.0,qq,CDM
atitlan_recicla,Atitlán Recicla,2026,8,AGO,programa,TOTAL,vidrio,Vidrio recolectado,0.0,1018.0,qq,CDM
atitlan_recicla,Atitlán Recicla,2026,8,AGO,programa,TOTAL,ingreso_bruto_total,Ingresos brutos totales,0.0,40727.0,GTQ,CDM
atitlan_recicla,Atitlán Recicla,2026,8,AGO,programa,TOTAL,ingreso_bruto_mujeres,Ingresos brutos por mujeres,0.0,36655.0,GTQ,CDM
atitlan_recicla,Atitlán Recicla,2026,8,AGO,programa,TOTAL,ingreso_bruto_municipalidades,Ingresos brutos por municipalidades,0.0,4073.0,GTQ,CDM
atitlan_recicla,Atitlán Recicla,2026,9,SEP,programa,TOTAL,materiales_generales,Materiales reciclables recolectados,0.0,1630.0,qq,CDM
atitlan_recicla,Atitlán Recicla,2026,9,SEP,programa,TOTAL,pet,PET recolectado,0.0,153.0,qq,CDM
atitlan_recicla,Atitlán Recicla,2026,9,SEP,programa,TOTAL,vidrio,Vidrio recolectado,0.0,1018.0,qq,CDM
atitlan_recicla,Atitlán Recicla,2026,9,SEP,programa,TOTAL,ingreso_bruto_total,Ingresos brutos totales,0.0,40727.0,GTQ,CDM
atitlan_recicla,Atitlán Recicla,2026,9,SEP,programa,TOTAL,ingreso_bruto_mujeres,Ingresos brutos por mujeres,0.0,36655.0,GTQ,CDM
atitlan_recicla,Atitlán Recicla,2026,9,SEP,programa,TOTAL,ingreso_bruto_municipalidades,Ingresos brutos por municipalidades,0.0,4073.0,GTQ,CDM
atitlan_recicla,Atitlán Recicla,2026,10,OCT,programa,TOTAL,materiales_generales,Materiales reciclables recolectados,0.0,1630.0,qq,CDM
atitlan_recicla,Atitlán Recicla,2026,10,OCT,programa,TOTAL,pet,PET recolectado,0.0,153.0,qq,CDM
atitlan_recicla,Atitlán Recicla,2026,10,OCT,programa,TOTAL,vidrio,Vidrio recolectado,0.0,1018.0,qq,CDM
atitlan_recicla,Atitlán Recicla,2026,10,OCT,programa,TOTAL,ingreso_bruto_total,Ingresos brutos totales,0.0,40727.0,GTQ,CDM
atitlan_recicla,Atitlán Recicla,2026,10,OCT,programa,TOTAL,ingreso_bruto_mujeres,Ingresos brutos por mujeres,0.0,36655.0,GTQ,CDM
atitlan_recicla,Atitlán Recicla,2026,10,OCT,programa,TOTAL,ingreso_bruto_municipalidades,Ingresos brutos por municipalidades,0.0,4073.0,GTQ,CDM
atitlan_recicla,Atitlán Recicla,2026,11,NOV,programa,TOTAL,materiales_generales,Materiales reciclables recolectados,0.0,1630.0,qq,CDM
atitlan_recicla,Atitlán Recicla,2026,11,NOV,programa,TOTAL,pet,PET recolectado,0.0,153.0,qq,CDM
atitlan_recicla,Atitlán Recicla,2026,11,NOV,programa,TOTAL,vidrio,Vidrio recolectado,0.0,1018.0,qq,CDM
atitlan_recicla,Atitlán Recicla,2026,11,NOV,programa,TOTAL,ingreso_bruto_total,Ingresos brutos totales,0.0,40727.0,GTQ,CDM
atitlan_recicla,Atitlán Recicla,2026,11,NOV,programa,TOTAL,ingreso_bruto_mujeres,Ingresos brutos por mujeres,0.0,36655.0,GTQ,CDM
atitlan_recicla,Atitlán Recicla,2026,11,NOV,programa,TOTAL,ingreso_bruto_municipalidades,Ingresos brutos por municipalidades,0.0,4073.0,GTQ,CDM
